"","when_began_current"
"457","1974"
"458","1974"
"459","2013"
"460","2013"
"461","2013"
"462","2015"
"463","1996"
"464","1996"
"465","1996"
"466","1996"
"467","1996"
"468","2021"
"469","2021"
"470","2021"
"471","2021"
"472","2021"
"473","2021"
"474","2003"
"475","2012"
"476","2012"
"477","2012"
"478","2012"
"479","2006"
"480","2006"
"481","1988"
"482","2018"
"483","2018"
"484","2018"
"485","2014"
"486","2014"
"487","2014"
"488","2014"
"489","2014"
"490","2014"
"491","2010"
"492","2010"
"493","2010"
"494","1996"
"495","1996"
"496","1996"
"497","2018"
"498","2018"
"499","2018"
"500","2018"
"501","2018"
"502","2018"
"503","2018"
"504","2018"
"505","2018"
"506","2018"
"507","2018"
"508","2018"
"509","2018"
"510","2018"
"511","2014"
"512","2014"
"513","2014"
"514","2014"
"515","2012"
"516","2012"
"517","2012"
"518","2012"
"519","2012"
"520","2021"
"521","2021"
"522","2021"
"523","2021"
"524","2021"
"525","2021"
"526","2021"
"527","2008"
"528","2008"
"529","2003"
"530","2003"
"531","2003"
"532","2003"
"533","2003"
"534","2016"
"535","2016"
"536","0"
"537","0"
"538","0"
"539","0"
"540","2017"
"541","2017"
"542","2017"
"543","2017"
"544","2017"
"545","1999"
"546","1993"
"547","1993"
"548","1993"
"549","1993"
"550","2007"
"551","2015"
"552","2015"
"553","2015"
"554","2015"
"555","2015"
"556","2015"
"557","2015"
"558","2015"
"559","1985"
"560","1985"
"561","1985"
"562","1985"
"563","1985"
"564","1985"
"565","1985"
"566","1985"
"567","2001"
"568","1995"
"569","1995"
"570","1995"
"571","2020"
"572","2019"
"573","2019"
"574","2019"
"575","2019"
"576","2019"
"577","2019"
"578","2023"
"579","2011"
"580","2011"
"581","2011"
"582","2011"
"583","1989"
"584","1997"
"585","1997"
"586","1997"
"587","1997"
"588","1997"
"589","1997"
"590","2015"
"591","2010"
"592","2010"
"593","1980"
"594","1980"
"595","1980"
"596","1980"
"597","1995"
"598","1995"
"599","1969"
"600","1969"
"601","1969"
"602","1969"
"603","1969"
"604","1969"
"605","1986"
"606","1989"
"607","1989"
"608","1989"
"609","1997"
"610","1997"
"611","1999"
"612","1999"
"613","1999"
"614","2022"
"615","2022"
"616","2022"
"617","2022"
"618","2022"
"619","2022"
"620","2022"
"621","2022"
"622","2022"
"623","2022"
"624","2017"
"625","2017"
"626","2000"
"627","2000"
"628","2000"
"629","2000"
"630","2000"
"631","1980"
"632","1975"
"633","1975"
"634","1975"
"635","1975"
"636","1975"
"637","1995"
"638","1995"
"639","1995"
"640","1987"
"641","1987"
"642","1987"
"643","3"
"644","3"
"645","3"
"646","1994"
"647","1994"
"648","1994"
"649","2006"
"650","2006"
"651","2006"
"652","2011"
"653","2011"
"654","2011"
"655","2011"
"656","2016"
"657","2016"
"658","2016"
"659","2016"
"660","1996"
"661","1996"
"662","2022"
"663","2022"
"664","2022"
"665","2022"
"666","2000"
"667","2000"
"668","2016"
"669","2016"
"670","2001"
"671","1973"
"672","1989"
"673","1989"
"674","1989"
"675","2018"
"676","2018"
"677","2018"
"678","2018"
"679","2013"
"680","2013"
"681","2013"
"682","2013"
"683","2019"
"684","2019"
"685","2019"
"686","2019"
"687","2019"
"688","2019"
"689","2019"
"690","2019"
"691","2019"
"692","2019"
"693","2019"
"694","2019"
"695","2015"
"696","2015"
"697","2015"
"698","2015"
"699","2015"
"700","2018"
"701","2018"
"702","2018"
"703","2010"
"704","2010"
"705","2010"
"706","2004"
"707","2004"
"708","2004"
"709","2004"
"710","2004"
"711","1991"
"712","1991"
"713","1991"
"714","1991"
"715","2001"
"716","2001"
"717","2001"
"718","2008"
"719","2008"
"720","2008"
"721","2008"
"722","2008"
"723","2022"
"724","2022"
"725","2016"
"726","2016"
"727","2016"
"728","2016"
"729","2016"
"730","2016"
"731","2016"
"732","1976"
"733","1976"
"734","1976"
"735","1976"
"736","1976"
"737","1970"
"738","1970"
"739","1970"
"740","2003"
"741","2003"
"742","2003"
"743","2003"
"744","2003"
"745","1988"
"746","1988"
"747","1988"
"748","1988"
"749","1988"
"750","2019"
"751","2019"
"752","2019"
"753","1962"
"754","2004"
"755","2011"
"756","2011"
"757","2011"
"758","2013"
"759","2006"
"760","2006"
"761","1994"
"762","1994"
"763","2001"
"764","2001"
"765","2022"
"766","2022"
"767","1990"
"768","1990"
"769","1990"
"770","1992"
"771","1998"
"772","1998"
"773","2022"
"774","2022"
"775","2022"
"776","2023"
"777","2023"
"778","2012"
"779","2012"
"780","2012"
"781","2011"
"782","2007"
"783","1991"
"784","1991"
"785","1991"
"786","1991"
"787","1991"
"788","2002"
"789","2010"
"790","2010"
"791","2010"
"792","2010"
"793","2010"
"794","2010"
"795","2010"
"796","2012"
"797","2003"
"798","1990"
"799","2009"
"800","2009"
"801","2009"
"802","2012"
"803","2012"
"804","2012"
"805","2012"
"806","2009"
"807","2009"
"808","2017"
"809","2017"
"810","2010"
"811","2010"
"812","2022"
"813","2021"
"814","2023"
"815","2022"
"816","2023"
"817","2023"
"818","2023"
"819","2023"
"820","2023"
"821","2023"
"822","2023"
"823","2010"
"824","2010"
"825","2023"
"826","2005"
"827","2005"
"828","2005"
"829","2007"
"830","2007"
"831","2007"
"832","2018"
"833","2018"
"834","2018"
"835","1976"
"836","1976"
"837","1982"
"838","1982"
"839","1982"
"840","1982"
"841","1982"
"842","1982"
"843","1982"
"844","1998"
"845","1998"
"846","1998"
"847","1998"
"848","1990"
"849","1990"
"850","1990"
"851","1990"
"852","1990"
"853","1995"
"854","1995"
"855","1995"
"856","1995"
"857","1995"
"858","2001"
"859","2002"
"860","2002"
"861","2002"
"862","2002"
"863","2013"
"864","2013"
"865","2013"
"866","2013"
"867","2002"
"868","2002"
"869","2006"
"870","2006"
"871","2006"
"872","2007"
"873","2007"
"874","2014"
"875","2014"
"876","2014"
"877","2014"
"878","2014"
"879","2014"
"880","2014"
"881","1992"
"882","1992"
"883","1992"
"884","1992"
"885","1992"
"886","2015"
"887","2015"
"888","2015"
"889","2015"
"890","2015"
"891","2000"
"892","2000"
"893","2000"
"894","2000"
"895","2007"
"896","2007"
"897","2007"
"898","1998"
"899","1998"
"900","1980"
"901","1980"
"902","1980"
"903","1980"
"904","1980"
"905","2008"
"906","2008"
"907","2008"
"908","2017"
"909","2017"
"910","2017"
"911","2017"
"912","2023"
"913","2023"
"914","2023"
"915","2017"
"916","2017"
"917","2017"
"918","2017"
"919","2017"
"920","2017"
"921","2006"
"922","2006"
"923","2007"
"924","2007"
"925","2007"
"926","2007"
"927","2007"
"928","2007"
"929","2007"
"930","2007"
"931","2007"
"932","2007"
"933","unknown"
"934","unknown"
"935","unknown"
"936","unknown"
"937","1992"
"938","1983"
"939","1995"
"940","1995"
"941","1995"
"942","1995"
"943","1999"
"944","1999"
"945","2019"
"946","2007"
"947","2007"
"948","2017"
"949","2017"
"950","2017"
"951","2017"
"952","2016"
"953","2016"
"954","2016"
"955","2006"
"956","2006"
"957","2006"
"958","1976"
"959","1976"
"960","2004"
"961","2004"
"962","2004"
"963","1979"
"964","1985"
"965","1985"
"966","1990"
"967","1990"
"968","1990"
"969","1995"
"970","1995"
"971","1995"
"972","2003"
"973","2003"
"974","2003"
"975","1996"
"976","1996"
"977","2022"
"978","2022"
"979","2010"
"980","2010"
"981","1984"
"982","2017"
"983","2017"
"984","2022"
"985","1990"
"986","2018"
"987","2018"
"988","2018"
"989","2018"
"990","2018"
"991","2018"
"992","2018"
"993","2017"
"994","2017"
"995","2017"
"996","1991"
"997","1991"
"998","1986"
"999","1986"
"1000","1995"
"1001","1995"
"1002","1994"
"1003","1994"
"1004","1994"
"1005","2006"
"1006","2006"
"1007","2016"
"1008","2016"
"1009","2016"
"1010","2016"
"1011","2000"
"1012","2000"
"1013","2000"
"1014","1982"
"1015","1982"
"1016","1982"
"1017","1982"
"1018","1992"
"1019","1997"
"1020","1997"
"1021","1997"
"1022","1997"
"1023","0"
"1024","0"
"1025","2020"
"1026","2020"
"1027","2006"
"1028","2006"
"1029","2022"
"1030","2022"
"1031","2001"
"1032","1997"
"1033","1997"
"1034","1997"
"1035","1997"
"1036","1997"
"1037","2017"
"1038","2017"
"1039","2014"
"1040","2014"
"1041","2014"
"1042","2013"
"1043","2013"
"1044","2013"
"1045","1999"
"1046","1999"
"1047","1999"
"1048","1986"
"1049","1986"
"1050","2006"
"1051","1994"
"1052","1994"
"1053","1994"
"1054","2003"
"1055","2003"
"1056","1999"
"1057","1999"
"1058","1999"
"1059","1999"
"1060","1999"
"1061","1999"
"1062","1999"
"1063","1999"
"1064","2024"
"1065","2024"
"1066","2024"
"1067","2024"
"1068","1988"
"1069","1988"
"1070","1988"
"1071","1988"
"1072","1988"
"1073","1998"
"1074","1998"
"1075","2000"
"1076","2018"
"1077","2018"
"1078","1958"
"1079","2015"
"1080","2015"
"1081","2015"
"1082","2001"
"1083","1998"
"1084","1998"
"1085","1986"
"1086","1986"
"1087","1986"
"1088","2009"
"1089","2009"
"1090","2009"
"1091","2009"
"1092","2009"
"1093","2009"
"1094","0"
"1095","2004"
"1096","2004"
"1097","2004"
"1098","2004"
"1099","2004"
"1100","2004"
"1101","2004"
"1102","2004"
"1103","2017"
"1104","2017"
"1105","2017"
"1106","2017"
"1107","2017"
"1108","2017"
"1109","2017"
"1110","2017"
"1111","2017"
"1112","1994"
"1113","1994"
"1114","1985"
"1115","2022"
"1116","2022"
"1117","2022"
"1118","2022"
"1119","1988"
"1120","1988"
"1121","2003"
"1122","2003"
"1123","2003"
"1124","2001"
"1125","2019"
"1126","2019"
"1127","2019"
"1128","2019"
"1129","2017"
"1130","2017"
"1131","2017"
"1132","1994"
"1133","1994"
"1134","2003"
"1135","2003"
"1136","2003"
"1137","2003"
"1138","2001"
"1139","2001"
"1140","2001"
"1141","2014"
"1142","2014"
"1143","2014"
"1144","2014"
"1145","2014"
"1146","2014"
"1147","2019"
"1148","2019"
"1149","2019"
"1150","2019"
"1151","2019"
"1152","2019"
"1153","2022"
"1154","2022"
"1155","2022"
"1156","2022"
"1157","2022"
"1158","2022"
"1159","2022"
"1160","2022"
"1161","2022"
"1162","2022"
"1163","2009"
"1164","2009"
"1165","2009"
"1166","2009"
"1167","2009"
"1168","2019"
"1169","2019"
"1170","2019"
"1171","2019"
"1172","2019"
"1173","2016"
"1174","2016"
