"","when_began_current"
"1874","2022"
"1875","2022"
"1876","1990"
"1877","1992"
"1878","1998"
"1879","2000"
"1880","2000"
"1881","2000"
"1882","2000"
"1883","2000"
"1884","1989"
"1885","2022"
"1886","2022"
"1887","2012"
"1888","2023"
"1889","2023"
"1890","2023"
"1891","2023"
"1892","2011"
"1893","2011"
"1894","2007"
"1895","2007"
"1896","1991"
"1897","1991"
"1898","2002"
"1899","2010"
"1900","2010"
"1901","2008"
"1902","2008"
"1903","2010"
"1904","2010"
"1905","2010"
"1906","2012"
"1907","2003"
"1908","2003"
"1909","2003"
"1910","2003"
"1911","2003"
"1912","1990"
"1913","1990"
"1914","2009"
"1915","2009"
"1916","2012"
"1917","2012"
"1918","2009"
"1919","2009"
"1920","2011"
"1921","2011"
"1922","2017"
"1923","2017"
"1924","2015"
"1925","2015"
"1926","2015"
"1927","2015"
"1928","2003"
"1929","2003"
"1930","2010"
"1931","2022"
"1932","2022"
"1933","2022"
"1934","2022"
"1935","2022"
"1936","2022"
"1937","2023"
"1938","2023"
"1939","2023"
"1940","2010"
"1941","2023"
"1942","2005"
"1943","2005"
"1944","2007"
"1945","2018"
"1946","2018"
"1947","1976"
"1948","1976"
"1949","1976"
"1950","1982"
"1951","1998"
"1952","1998"
"1953","1990"
"1954","1990"
"1955","1995"
"1956","2001"
"1957","2002"
"1958","2002"
"1959","2002"
"1960","2013"
"1961","2002"
"1962","2002"
"1963","2006"
"1964","2006"
"1965","2007"
"1966","2007"
"1967","2014"
"1968","2014"
"1969","1992"
"1970","2015"
"1971","2015"
"1972","2015"
"1973","2000"
"1974","2007"
"1975","1998"
"1976","1985"
"1977","1985"
"1978","1985"
"1979","1985"
"1980","2008"
"1981","2008"
"1982","2017"
"1983","2023"
"1984","2023"
"1985","2017"
"1986","2017"
"1987","2006"
"1988","2006"
"1989","2006"
"1990","2007"
"1991","2007"
"1992","2007"
"1993","2007"
"1994","unknown"
"1995","unknown"
"1996","1992"
"1997","1983"
"1998","1995"
"1999","1995"
"2000","1999"
"2001","2019"
"2002","2007"
"2003","2007"
"2004","2017"
"2005","2016"
"2006","2016"
"2007","2016"
"2008","2006"
"2009","2006"
"2010","2006"
"2011","1976"
"2012","2004"
"2013","1979"
"2014","1979"
"2015","1979"
"2016","1985"
"2017","1990"
"2018","1990"
"2019","1995"
"2020","2003"
"2021","2003"
"2022","1996"
"2023","1996"
"2024","1996"
"2025","2022"
"2026","2010"
"2027","1984"
"2028","2017"
"2029","1986"
"2030","1986"
"2031","2022"
"2032","2022"
"2033","1990"
"2034","2018"
"2035","2018"
"2036","2018"
"2037","2018"
"2038","2017"
"2039","2017"
"2040","1991"
"2041","1986"
"2042","1986"
"2043","1986"
"2044","1995"
"2045","2003"
"2046","1994"
"2047","1994"
"2048","2006"
"2049","2006"
"2050","2016"
"2051","2016"
"2052","2016"
"2053","2016"
"2054","2000"
"2055","2000"
"2056","1982"
"2057","1992"
"2058","1992"
"2059","1997"
"2060","1997"
"2061","0"
"2062","2020"
"2063","2006"
"2064","2022"
"2065","2001"
"2066","2001"
"2067","1997"
"2068","2017"
"2069","2017"
"2070","2014"
"2071","2013"
"2072","2013"
"2073","1999"
"2074","1999"
"2075","1986"
"2076","2006"
"2077","2006"
"2078","1994"
"2079","1994"
"2080","2003"
"2081","2003"
"2082","1999"
"2083","1999"
"2084","1999"
"2085","1999"
"2086","2024"
"2087","2024"
"2088","2024"
"2089","2024"
"2090","1988"
"2091","1998"
"2092","2000"
"2093","2023"
"2094","2023"
"2095","2018"
"2096","1958"
"2097","1958"
"2098","2015"
"2099","2015"
"2100","2015"
"2101","2001"
"2102","1998"
"2103","1986"
"2104","2009"
"2105","2009"
"2106","2009"
"2107","0"
"2108","0"
"2109","2004"
"2110","2004"
"2111","2004"
"2112","2017"
"2113","2017"
"2114","1994"
"2115","1994"
"2116","1985"
"2117","2022"
"2118","2022"
"2119","1988"
"2120","1988"
"2121","2003"
"2122","2003"
"2123","2003"
"2124","2001"
"2125","2001"
"2126","2019"
"2127","2019"
"2128","2019"
"2129","2017"
"2130","1994"
"2131","1994"
"2132","2003"
"2133","2003"
"2134","2003"
"2135","2001"
"2136","2001"
"2137","2019"
"2138","2019"
"2139","2019"
"2140","2022"
"2141","2022"
"2142","2022"
"2143","2022"
"2144","2022"
"2145","2022"
"2146","2009"
"2147","2009"
"2148","2009"
"2149","2019"
"2150","2019"
"2151","2019"
"2152","2016"
"2153","2006"
"2154","2006"
"2155","2015"
"2156","1994"
"2157","2016"
"2158","2016"
"2159","2023"
"2160","2023"
"2161","2018"
"2162","2018"
"2163","1990"
"2164","1983"
"2165","1983"
"2166","1982"
"2167","1997"
"2168","1997"
"2169","1997"
"2170","2023"
"2171","2023"
"2172","1992"
"2173","1992"
"2174","1996"
"2175","1996"
"2176","2024"
"2177","2024"
"2178","25"
"2179","25"
"2180","2013"
"2181","2013"
"2182","1996"
"2183","2012"
"2184","2006"
"2185","2006"
"2186","3"
"2187","3"
"2188","2013"
"2189","2013"
"2190","2014"
"2191","2006"
"2192","2006"
"2193","2006"
"2194","2006"
"2195","1976"
"2196","1976"
"2197","2012"
"2198","2012"
"2199","2012"
"2200","2012"
"2201","2003"
"2202","2003"
"2203","2016"
"2204","2016"
"2205","2000"
"2206","2000"
"2207","2000"
"2208","2000"
"2209","2000"
"2210","2016"
"2211","2016"
"2212","2016"
"2213","2000"
"2214","2000"
"2215","2000"
"2216","2019"
"2217","2019"
"2218","2012"
"2219","2012"
"2220","2012"
"2221","1979"
"2222","1979"
"2223","2006"
"2224","2006"
"2225","2019"
"2226","1984"
"2227","1984"
"2228","1992"
"2229","2023"
"2230","2023"
"2231","2023"
"2232","2019"
"2233","2014"
"2234","2001"
"2235","2001"
"2236","2001"
"2237","2023"
"2238","2023"
"2239","2023"
"2240","2023"
"2241","2023"
"2242","2023"
"2243","2023"
"2244","2023"
"2245","2023"
"2246","1981"
"2247","2005"
"2248","2005"
"2249","2005"
"2250","2005"
"2251","1993"
"2252","1993"
"2253","1993"
"2254","1993"
"2255","1993"
"2256","1993"
"2257","1993"
"2258","2014"
"2259","2014"
"2260","2014"
"2261","2014"
"2262","2023"
"2263","2023"
"2264","2013"
"2265","2013"
"2266","2016"
"2267","2016"
"2268","2006"
"2269","1998"
"2270","1998"
"2271","2008"
"2272","1985"
"2273","2014"
"2274","2014"
"2275","1985"
"2276","2013"
"2277","2013"
"2278","2010"
"2279","2006"
"2280","2006"
"2281","2006"
"2282","2004"
"2283","2004"
"2284","2004"
"2285","2004"
"2286","1985"
"2287","1985"
"2288","1985"
"2289","2010"
"2290","2008"
"2291","2008"
"2292","1999"
"2293","1991"
"2294","2014"
"2295","1994"
"2296","2009"
"2297","2009"
"2298","1985"
"2299","1985"
"2300","2017"
"2301","1979"
"2302","2011"
"2303","1999"
"2304","1999"
"2305","1999"
"2306","1999"
"2307","2016"
"2308","2000"
"2309","2012"
"2310","2012"
"2311","2012"
"2312","2012"
"2313","2012"
"2314","2012"
"2315","1996"
"2316","1996"
"2317","1996"
"2318","1996"
"2319","1987"
"2320","1987"
"2321","1987"
"2322","2016"
"2323","2016"
"2324","2016"
"2325","2016"
"2326","2016"
"2327","2016"
"2328","1997"
"2329","1997"
"2330","1997"
"2331","1997"
"2332","1997"
"2333","2003"
"2334","2003"
"2335","2003"
"2336","1986"
"2337","1986"
"2338","1986"
"2339","1986"
"2340","1986"
"2341","1986"
"2342","2002"
"2343","2002"
"2344","2002"
"2345","2023"
"2346","2003"
"2347","1997"
"2348","1997"
"2349","1997"
"2350","1997"
"2351","1997"
"2352","1997"
"2353","1989"
"2354","1987"
"2355","1989"
"2356","1989"
"2357","125"
"2358","125"
"2359","125"
"2360","125"
"2361","1989"
"2362","2015"
"2363","2015"
"2364","2015"
"2365","2015"
"2366","2015"
"2367","2015"
"2368","2014"
"2369","2014"
"2370","2014"
"2371","2014"
"2372","2014"
"2373","2014"
"2374","1987"
"2375","1991"
"2376","1991"
"2377","1991"
"2378","1991"
"2379","1991"
"2380","1991"
"2381","1991"
"2382","1694"
"2383","1694"
"2384","1694"
"2385","1694"
"2386","1694"
"2387","2005"
"2388","2005"
"2389","1985"
"2390","2012"
"2391","2012"
"2392","2012"
"2393","2012"
"2394","2012"
"2395","2012"
"2396","2012"
"2397","2012"
"2398","2012"
"2399","2012"
"2400","2011"
"2401","2011"
"2402","2011"
"2403","2011"
"2404","1989"
"2405","2016"
"2406","2016"
"2407","2012"
"2408","2012"
"2409","2017"
"2410","2017"
"2411","2017"
"2412","1987"
"2413","1987"
"2414","1987"
"2415","1987"
"2416","1987"
"2417","1987"
"2418","1987"
"2419","1987"
"2420","1987"
"2421","1987"
"2422","1987"
"2423","1987"
"2424","1987"
"2425","2016"
"2426","2016"
"2427","2016"
"2428","2016"
"2429","2016"
"2430","2016"
"2431","2016"
"2432","2016"
"2433","1978"
"2434","1993"
"2435","1993"
"2436","1993"
"2437","2023"
"2438","2023"
"2439","1962"
"2440","2015"
"2441","2015"
"2442","2015"
"2443","2017"
"2444","2017"
"2445","2017"
"2446","2017"
"2447","2017"
"2448","2005"
"2449","2005"
"2450","2005"
"2451","2005"
"2452","2005"
"2453","2005"
"2454","2005"
"2455","2005"
"2456","2005"
"2457","2005"
"2458","2005"
"2459","2005"
"2460","2009"
"2461","2009"
"2462","2009"
"2463","2009"
"2464","2002"
"2465","2018"
"2466","2018"
"2467","2018"
"2468","2018"
"2469","2002"
"2470","1977"
"2471","1977"
"2472","1977"
"2473","1983"
"2474","1983"
"2475","1983"
"2476","1983"
"2477","1983"
"2478","1977"
"2479","1977"
"2480","1977"
"2481","2011"
"2482","2011"
"2483","2011"
"2484","2015"
"2485","2015"
"2486","2015"
"2487","2015"
"2488","2015"
"2489","2015"
"2490","2015"
"2491","1992"
"2492","1992"
"2493","1992"
"2494","1992"
"2495","2021"
"2496","2021"
"2497","2021"
"2498","2013"
"2499","2013"
"2500","2013"
"2501","1995"
"2502","1995"
"2503","1995"
"2504","1995"
"2505","1995"
"2506","1995"
"2507","2000"
"2508","2006"
"2509","2006"
"2510","2006"
"2511","2000"
"2512","2000"
"2513","2000"
"2514","2000"
"2515","2000"
"2516","2000"
"2517","1994"
"2518","2019"
"2519","2019"
"2520","1971"
"2521","1989"
"2522","2001"
"2523","2013"
"2524","2013"
"2525","2007"
"2526","2001"
"2527","1979"
"2528","2023"
"2529","2023"
"2530","2023"
"2531","2023"
"2532","2023"
"2533","2023"
"2534","2022"
"2535","2021"
"2536","1995"
"2537","1995"
"2538","1994"
"2539","1978"
"2540","2011"
"2541","2011"
"2542","2011"
"2543","2011"
"2544","2011"
"2545","1978"
"2546","1978"
"2547","1978"
"2548","1978"
"2549","1981"
"2550","1981"
"2551","2017"
"2552","1981"
"2553","1981"
"2554","2010"
"2555","2010"
"2556","2010"
"2557","2010"
"2558","2019"
"2559","2019"
"2560","2019"
"2561","2022"
"2562","2022"
"2563","2022"
"2564","2022"
"2565","2019"
"2566","2019"
"2567","2019"
"2568","2019"
"2569","1977"
"2570","1977"
"2571","1977"
"2572","2019"
"2573","2019"
"2574","2019"
"2575","2019"
"2576","2005"
"2577","2005"
"2578","1994"
"2579","1994"
"2580","2005"
"2581","2005"
"2582","2005"
"2583","2010"
"2584","2010"
"2585","2010"
"2586","2010"
"2587","2010"
"2588","2010"
"2589","2010"
"2590","2010"
"2591","2010"
"2592","2010"
"2593","2010"
"2594","2010"
"2595","1999"
"2596","1999"
"2597","1999"
"2598","15"
"2599","15"
"2600","15"
"2601","0"
"2602","0"
"2603","0"
"2604","2012"
"2605","1993"
"2606","1993"
"2607","1993"
"2608","1986"
"2609","1986"
"2610","2014"
"2611","2017"
"2612","2017"
"2613","2014"
"2614","2019"
"2615","2019"
"2616","2019"
"2617","2019"
"2618","2019"
"2619","2023"
"2620","2023"
"2621","2023"
"2622","2023"
"2623","2023"
"2624","2023"
"2625","2023"
"2626","2023"
"2627","2023"
"2628","2020"
"2629","2020"
"2630","2020"
"2631","2020"
"2632","2020"
"2633","2020"
"2634","2020"
"2635","2004"
"2636","2004"
"2637","2004"
"2638","2012"
"2639","2012"
"2640","1999"
"2641","1999"
"2642","1999"
"2643","1999"
"2644","2012"
"2645","2012"
"2646","1999"
"2647","1999"
"2648","1999"
"2649","1999"
"2650","1986"
"2651","1986"
"2652","1986"
"2653","1986"
"2654","1986"
"2655","1986"
"2656","1994"
"2657","1994"
"2658","1994"
"2659","1997"
"2660","1997"
"2661","1997"
"2662","1997"
"2663","1997"
"2664","1997"
"2665","1997"
"2666","1997"
"2667","1993"
"2668","1993"
"2669","2016"
"2670","1982"
"2671","1982"
"2672","1982"
"2673","1982"
"2674","1985"
"2675","2004"
"2676","2004"
"2677","2004"
"2678","2004"
"2679","1996"
"2680","1996"
"2681","1996"
"2682","1996"
"2683","1999"
"2684","1999"
"2685","1999"
"2686","1999"
"2687","1999"
"2688","1999"
"2689","1984"
"2690","1984"
"2691","1984"
"2692","2000"
"2693","1990"
"2694","1990"
"2695","1990"
"2696","2017"
"2697","1974"
"2698","1974"
"2699","1974"
"2700","1974"
"2701","2017"
"2702","2017"
"2703","2013"
"2704","1986"
"2705","1986"
"2706","1986"
"2707","1986"
"2708","1986"
"2709","1986"
"2710","1986"
"2711","1986"
"2712","1986"
"2713","1986"
"2714","1996"
"2715","1996"
"2716","1996"
"2717","1996"
"2718","2021"
"2719","2021"
"2720","2012"
"2721","2012"
"2722","2012"
"2723","1995"
"2724","1995"
"2725","1995"
"2726","1995"
"2727","1995"
"2728","2006"
"2729","2006"
"2730","2006"
"2731","2006"
"2732","2006"
"2733","2016"
"2734","2016"
"2735","2016"
"2736","2018"
"2737","2018"
"2738","2014"
"2739","2014"
"2740","2014"
"2741","2014"
"2742","2014"
"2743","2014"
"2744","2014"
"2745","2014"
"2746","2010"
"2747","1996"
"2748","2011"
"2749","2011"
"2750","2018"
"2751","2018"
"2752","2012"
"2753","2012"
"2754","2021"
"2755","2021"
"2756","2021"
"2757","2021"
"2758","2021"
"2759","2007"
"2760","2003"
"2761","2016"
"2762","2016"
"2763","2016"
"2764","2008"
"2765","2008"
"2766","2017"
"2767","2017"
"2768","2017"
"2769","2017"
"2770","1999"
"2771","1999"
"2772","1999"
"2773","1993"
"2774","2007"
"2775","2007"
"2776","2007"
"2777","2015"
"2778","2015"
"2779","1985"
"2780","2001"
"2781","2019"
"2782","2019"
"2783","2019"
"2784","2019"
"2785","2019"
"2786","2019"
"2787","2023"
"2788","2020"
"2789","2011"
"2790","1989"
"2791","1997"
"2792","1997"
"2793","2010"
"2794","2010"
"2795","2010"
"2796","2010"
"2797","1980"
"2798","1980"
"2799","1995"
"2800","1969"
"2801","1969"
"2802","1986"
"2803","1986"
"2804","1989"
"2805","1989"
"2806","1987"
"2807","1997"
"2808","1999"
"2809","2022"
"2810","2022"
"2811","2022"
"2812","2017"
"2813","2017"
"2814","2017"
"2815","2017"
"2816","2000"
"2817","2000"
"2818","2000"
"2819","2000"
"2820","1975"
"2821","1975"
"2822","1975"
"2823","1995"
"2824","1995"
"2825","1995"
"2826","1987"
"2827","1987"
"2828","1987"
"2829","1987"
"2830","3"
"2831","1994"
"2832","1994"
"2833","1994"
"2834","1994"
"2835","1994"
"2836","2011"
"2837","2016"
"2838","2016"
"2839","2016"
"2840","2016"
"2841","2016"
"2842","2016"
"2843","1996"
"2844","1996"
"2845","1996"
"2846","1996"
"2847","1996"
"2848","1996"
"2849","1996"
"2850","2022"
"2851","2022"
"2852","2022"
"2853","2022"
"2854","2000"
"2855","2000"
"2856","2000"
"2857","2016"
"2858","2016"
"2859","2016"
"2860","2016"
"2861","2016"
"2862","2001"
"2863","2001"
"2864","2001"
"2865","1973"
"2866","1989"
"2867","2018"
"2868","2013"
"2869","2013"
"2870","2013"
"2871","2013"
"2872","2019"
"2873","2019"
"2874","2019"
"2875","2019"
"2876","2019"
"2877","0"
"2878","0"
"2879","2019"
"2880","2019"
"2881","2019"
"2882","2015"
"2883","2015"
"2884","2015"
"2885","2018"
"2886","2010"
"2887","2010"
"2888","2010"
"2889","2010"
"2890","2010"
"2891","2010"
"2892","2010"
"2893","2010"
"2894","2010"
"2895","2004"
"2896","2004"
"2897","1991"
"2898","1991"
"2899","1991"
"2900","1991"
"2901","1991"
"2902","1991"
"2903","1991"
"2904","1991"
"2905","2001"
"2906","2008"
"2907","2008"
"2908","2008"
"2909","2008"
"2910","2008"
"2911","2008"
"2912","2022"
"2913","2022"
"2914","2022"
"2915","2022"
"2916","2022"
"2917","2016"
"2918","2016"
"2919","2016"
"2920","2016"
"2921","2016"
"2922","2016"
"2923","1976"
"2924","1970"
"2925","2003"
"2926","2003"
"2927","1988"
"2928","1988"
"2929","1988"
"2930","1988"
"2931","2019"
"2932","2019"
"2933","2019"
"2934","2019"
"2935","2019"
"2936","2019"
"2937","1962"
"2938","2022"
"2939","2022"
"2940","2022"
"2941","2022"
"2942","2004"
"2943","2011"
"2944","2013"
"2945","2013"
"2946","2013"
"2947","2013"
"2948","2013"
"2949","2013"
"2950","2013"
"2951","2013"
"2952","2013"
"2953","2013"
"2954","2013"
"2955","2006"
"2956","1994"
"2957","2001"
"2958","2001"
"2959","2001"
"2960","2001"
"2961","2001"
"2962","1996"
"2963","1990"
"2964","1992"
"2965","1992"
"2966","1998"
"2967","1998"
"2968","2000"
"2969","2000"
"2970","1989"
"2971","1989"
"2972","2022"
"2973","2022"
"2974","2022"
"2975","2022"
"2976","2023"
"2977","2007"
"2978","2007"
"2979","2007"
"2980","2007"
"2981","2007"
"2982","2007"
"2983","2007"
"2984","1991"
"2985","2002"
"2986","2010"
"2987","2008"
"2988","2010"
"2989","2010"
"2990","2010"
"2991","2010"
"2992","2012"
"2993","2012"
"2994","2003"
"2995","2003"
"2996","2003"
"2997","1990"
"2998","1990"
"2999","2009"
"3000","2009"
"3001","2012"
"3002","2009"
"3003","2009"
"3004","2009"
"3005","2011"
"3006","2011"
"3007","2011"
"3008","2011"
"3009","2011"
"3010","2011"
"3011","2017"
"3012","2015"
"3013","2022"
"3014","2003"
"3015","2010"
"3016","2022"
"3017","2022"
"3018","2022"
"3019","2022"
"3020","2021"
"3021","2021"
"3022","2023"
"3023","2023"
"3024","2023"
"3025","2023"
"3026","2010"
"3027","2021"
"3028","2021"
"3029","2023"
"3030","2023"
"3031","2005"
"3032","2005"
"3033","2005"
"3034","2005"
"3035","2005"
"3036","2005"
"3037","2005"
"3038","2007"
"3039","2007"
"3040","2007"
"3041","2018"
"3042","2018"
"3043","2018"
"3044","2018"
"3045","2018"
"3046","1982"
"3047","1982"
"3048","1982"
"3049","1982"
"3050","1982"
"3051","1982"
"3052","1998"
"3053","1990"
"3054","1990"
"3055","1990"
"3056","1990"
"3057","1990"
"3058","1990"
"3059","2013"
"3060","2013"
"3061","2013"
"3062","2013"
"3063","2013"
"3064","2013"
"3065","2013"
"3066","2013"
"3067","2013"
"3068","2002"
"3069","2006"
"3070","2006"
"3071","2006"
"3072","2006"
"3073","2006"
"3074","2006"
"3075","2014"
"3076","1992"
"3077","2015"
"3078","2000"
"3079","2007"
"3080","2007"
"3081","2007"
"3082","2007"
"3083","1985"
"3084","2008"
"3085","2008"
"3086","2008"
"3087","2008"
"3088","2008"
"3089","2017"
"3090","2023"
"3091","2017"
"3092","2017"
"3093","2017"
"3094","2017"
"3095","2017"
"3096","2017"
"3097","2006"
"3098","2007"
"3099","2007"
"3100","2007"
"3101","2007"
"3102","2007"
"3103","2007"
"3104","2007"
"3105","2007"
"3106","2007"
"3107","2007"
"3108","1992"
"3109","1983"
"3110","1983"
"3111","1983"
"3112","1999"
"3113","2019"
"3114","2019"
"3115","2019"
"3116","2019"
"3117","2019"
"3118","2019"
"3119","2019"
"3120","2007"
"3121","2007"
"3122","2007"
"3123","2007"
"3124","2007"
"3125","2017"
"3126","2017"
"3127","2017"
"3128","2017"
"3129","2016"
"3130","2016"
"3131","2016"
"3132","2016"
"3133","2016"
"3134","2016"
"3135","2016"
"3136","2016"
"3137","2006"
"3138","2006"
"3139","2006"
"3140","2006"
"3141","2006"
"3142","2006"
"3143","2006"
"3144","2004"
"3145","2004"
"3146","2004"
"3147","1979"
"3148","1979"
"3149","1985"
"3150","1985"
"3151","1985"
"3152","1990"
"3153","1995"
"3154","1995"
"3155","1995"
"3156","1995"
"3157","2003"
"3158","1996"
"3159","1996"
"3160","1996"
"3161","2022"
"3162","2022"
"3163","2022"
"3164","2010"
"3165","2017"
"3166","2017"
"3167","2017"
"3168","2017"
"3169","2022"
"3170","2022"
"3171","2022"
"3172","2022"
"3173","1990"
"3174","1990"
"3175","1990"
"3176","1990"
"3177","1990"
"3178","2018"
"3179","2018"
"3180","2018"
"3181","2018"
"3182","2018"
"3183","2017"
"3184","2017"
"3185","2017"
"3186","2017"
"3187","1991"
"3188","1986"
"3189","1986"
"3190","1986"
"3191","1995"
"3192","2003"
"3193","2003"
"3194","2003"
"3195","2003"
"3196","2006"
"3197","2006"
"3198","2006"
"3199","2006"
"3200","2016"
"3201","2000"
"3202","1992"
"3203","1997"
"3204","1997"
"3205","1997"
"3206","0"
"3207","0"
"3208","0"
"3209","0"
"3210","2020"
"3211","2020"
"3212","2020"
"3213","2020"
"3214","2020"
"3215","2020"
"3216","2020"
"3217","2006"
"3218","2006"
"3219","2006"
"3220","2006"
"3221","2006"
"3222","2006"
"3223","2006"
"3224","2006"
"3225","2022"
"3226","2022"
"3227","2022"
"3228","2022"
"3229","1997"
"3230","1997"
"3231","1997"
"3232","1997"
"3233","1997"
"3234","2017"
"3235","2017"
"3236","2017"
"3237","2017"
"3238","2017"
"3239","2017"
"3240","2013"
"3241","2013"
"3242","2013"
"3243","2013"
"3244","2013"
"3245","2013"
"3246","2013"
"3247","1999"
"3248","1986"
"3249","1986"
"3250","1986"
"3251","1986"
"3252","1986"
"3253","1986"
"3254","1986"
"3255","1986"
"3256","1986"
"3257","2006"
"3258","2006"
"3259","1994"
"3260","1994"
"3261","1994"
"3262","2003"
"3263","2003"
"3264","1999"
"3265","1999"
"3266","1999"
"3267","1999"
"3268","1999"
"3269","1999"
"3270","1999"
"3271","1999"
"3272","2024"
"3273","2024"
"3274","2024"
"3275","2024"
"3276","2024"
"3277","2024"
"3278","2024"
"3279","2024"
"3280","1988"
"3281","1988"
"3282","2000"
"3283","2000"
"3284","2000"
"3285","2000"
"3286","2000"
"3287","2000"
"3288","2000"
"3289","2018"
"3290","2015"
"3291","2015"
"3292","2015"
"3293","2015"
"3294","2001"
"3295","2001"
"3296","2001"
"3297","2001"
"3298","1998"
"3299","1998"
"3300","1998"
"3301","1998"
"3302","1998"
"3303","1998"
"3304","1998"
"3305","1998"
"3306","1998"
"3307","1998"
"3308","1998"
"3309","1986"
"3310","2003"
"3311","2003"
"3312","2003"
"3313","2009"
"3314","2009"
"3315","2009"
"3316","2009"
"3317","2009"
"3318","0"
"3319","0"
"3320","0"
"3321","0"
"3322","0"
"3323","0"
"3324","2004"
"3325","2004"
"3326","2004"
"3327","2017"
"3328","1994"
"3329","1994"
"3330","1994"
"3331","1994"
"3332","1994"
"3333","1994"
"3334","1985"
"3335","2022"
"3336","1988"
"3337","1988"
"3338","1988"
"3339","1988"
"3340","2003"
"3341","2001"
"3342","2001"
"3343","2001"
"3344","2001"
"3345","2001"
"3346","2017"
"3347","2017"
"3348","2017"
"3349","2017"
"3350","1994"
"3351","1994"
"3352","1994"
"3353","1994"
"3354","1994"
"3355","1994"
"3356","1994"
"3357","2003"
"3358","2003"
"3359","2001"
"3360","2001"
"3361","2001"
"3362","2014"
"3363","2014"
"3364","2014"
"3365","2014"
"3366","2014"
"3367","2014"
"3368","2019"
"3369","2022"
"3370","2022"
"3371","2022"
"3372","2022"
"3373","2022"
"3374","2022"
"3375","2022"
"3376","2009"
"3377","2009"
"3378","2009"
"3379","2019"
"3380","2019"
"3381","2016"
"3382","2016"
"3383","2016"
"3384","2016"
"3385","2016"
"3386","2016"
"3387","2016"
"3388","2016"
"3389","2006"
"3390","2015"
"3391","2015"
"3392","2015"
"3393","2015"
"3394","1994"
"3395","2016"
"3396","2016"
"3397","2016"
"3398","2016"
"3399","2016"
"3400","2023"
"3401","2023"
"3402","2023"
"3403","2023"
"3404","2023"
"3405","2018"
"3406","2018"
"3407","2018"
"3408","2018"
"3409","1990"
"3410","1982"
"3411","1997"
"3412","1997"
"3413","1997"
"3414","1997"
"3415","1997"
"3416","1997"
"3417","1997"
"3418","1997"
"3419","2023"
"3420","2023"
"3421","2023"
"3422","2023"
"3423","2023"
"3424","2023"
"3425","2023"
"3426","1992"
"3427","1992"
"3428","1992"
"3429","1996"
"3430","1996"
"3431","1996"
"3432","2024"
"3433","25"
"3434","25"
"3435","25"
"3436","25"
"3437","25"
"3438","25"
"3439","2013"
"3440","2013"
"3441","2013"
"3442","2013"
"3443","2013"
"3444","2013"
"3445","2013"
"3446","1996"
"3447","1996"
"3448","2012"
"3449","2012"
"3450","2012"
"3451","2012"
"3452","2012"
"3453","2006"
"3454","2006"
"3455","2006"
"3456","2006"
"3457","2013"
"3458","2013"
"3459","2013"
"3460","2014"
"3461","2014"
"3462","2006"
"3463","2012"
"3464","2012"
"3465","2012"
"3466","2003"
"3467","2016"
"3468","2016"
"3469","2000"
"3470","2016"
"3471","2016"
"3472","2000"
"3473","2019"
"3474","2012"
"3475","2012"
"3476","1979"
"3477","1979"
"3478","1979"
"3479","1979"
"3480","1979"
"3481","1979"
"3482","1979"
"3483","1979"
"3484","1979"
"3485","1979"
"3486","1979"
"3487","1979"
"3488","1979"
"3489","1979"
"3490","1979"
"3491","1979"
"3492","1979"
"3493","1979"
"3494","1979"
"3495","2006"
"3496","2006"
"3497","2006"
"3498","2019"
"3499","1984"
"3500","1984"
"3501","1984"
"3502","1992"
"3503","1992"
"3504","1992"
"3505","2023"
"3506","2019"
"3507","2014"
"3508","2014"
"3509","2014"
"3510","2014"
"3511","2014"
"3512","2014"
"3513","2014"
"3514","2001"
"3515","2001"
"3516","2001"
"3517","2001"
"3518","2001"
"3519","2001"
"3520","2023"
"3521","2023"
"3522","2023"
"3523","2023"
"3524","2023"
"3525","2023"
"3526","2023"
"3527","2023"
"3528","1981"
"3529","1993"
"3530","1993"
"3531","1993"
"3532","1993"
"3533","1993"
"3534","1993"
"3535","2014"
"3536","2023"
"3537","2023"
"3538","2023"
"3539","2013"
"3540","2013"
"3541","2013"
"3542","2013"
"3543","2013"
"3544","2016"
"3545","2006"
"3546","2008"
"3547","2008"
"3548","2008"
"3549","1985"
"3550","1985"
"3551","1985"
"3552","1985"
"3553","1985"
"3554","1985"
"3555","2014"
"3556","2014"
"3557","2014"
"3558","2013"
"3559","2013"
"3560","2013"
"3561","2013"
"3562","2013"
"3563","2010"
"3564","2004"
"3565","2004"
"3566","1985"
"3567","2010"
"3568","2008"
"3569","2008"
"3570","2008"
"3571","1999"
"3572","1991"
"3573","1991"
"3574","1991"
"3575","1991"
"3576","1991"
"3577","1991"
"3578","1991"
"3579","1994"
"3580","2009"
"3581","1985"
"3582","1999"
"3583","2011"
"3584","2000"
"3585","2012"
"3586","2012"
"3587","2012"
"3588","2012"
"3589","2012"
"3590","1996"
"3591","1996"
"3592","2016"
"3593","2016"
"3594","2016"
"3595","2016"
"3596","1989"
"3597","2003"
"3598","2003"
"3599","2023"
"3600","2023"
"3601","2009"
"3602","2009"
"3603","2009"
"3604","1987"
"3605","1987"
"3606","1987"
"3607","1987"
"3608","1987"
"3609","2012"
"3610","2012"
"3611","1979"
"3612","1989"
"3613","1989"
"3614","1989"
"3615","2015"
"3616","2015"
"3617","2015"
"3618","2015"
"3619","2014"
"3620","2014"
"3621","2014"
"3622","2014"
"3623","2014"
"3624","2012"
"3625","2012"
"3626","2012"
